"Resource Code","Resource Name","Administrators","Staff Member - 1","Cybercom Team","Staff Member - 2","Salesman - Leor","Staff Member - 3","Salesman - 1","Staff Member Kirill","Data Team","Gabe data ","Staff Member Vera","tv","UI designer","Wiser Team","HR Jon","Salesman Allan ","Staff member Eugene","Tax Report","Staff Member - Hillel","Salesman - Ted","Staff Member - Brent","Salesman - Albert","Salesman - Elliot","Salesman- Eddy","Staff Member - dmitryS","Cybercom Catalog Update Only","Staff Member - Ron","Staff Member - 1 - irene","Salesman - 1 - leran","Staff Member - joan","Cybercom Team 2","Staff Member - tairet","Staff Member - 1 - Sid, BillM, GaryS, Neilk","Salesman - justin","Staff Member - 2 - Eugene","Salesman - Azi ","Phil","Staff Member - 1 - Valerie","Staff Member - Saidy","Administrator_Dashboard","Staff Member - Shibvon ","Staff Member - 	Marleny","Staff Member Kishan","leran_staffmember","manger4147"
"admin/system/myaccount","My Account","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/tools","Tools","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/tools/backup","Backups","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/tools/backup/rollback","Rollback","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/tools/compiler","Compilation","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/tools/compatibility","Affirm Compatibility Tool","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/tools/filetransfer","File Transfer","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/tools/imgexport","Import/Export Options","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/tools/imgeimport","Image Import","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/tools/vararch","Var Arch","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/tools/varexport","Var export","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/tools/varlog","Var Log","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/convert","Import/Export","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/convert/gui","Dataflow - Profiles","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/convert/profiles","Dataflow - Advanced Profiles","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/convert/import","Import","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/convert/export","Export","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/cache","Cache Management","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/extensions","Magento Connect","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/extensions/local","Magento Connect Manager","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/extensions/custom","Package Extensions","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/adminnotification","Notifications","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/adminnotification/show_toolbar","Show Toolbar","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/adminnotification/show_list","Show List","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/adminnotification/mark_as_read","Mark as read","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/adminnotification/remove","Remove","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/index","Index Management","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/order_statuses","Order Statuses","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api","Web Services","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api/users","SOAP/XML-RPC - Users","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api/roles","SOAP/XML-RPC - Roles","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api/consumer","OAuth Consumers","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api/consumer/edit","Edit","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api/consumer/delete","Delete","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api/authorizedTokens","OAuth Authorized Tokens","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api/oauth_admin_token","OAuth Admin My Apps","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api/rest_roles","REST - Roles","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api/rest_roles/add","Add","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api/rest_roles/edit","Edit","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api/rest_roles/delete","Delete","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api/rest_attributes","REST - Attributes","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/api/rest_attributes/edit","Edit","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/aoe_scheduler","AOE Scheduler","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/aoe_scheduler/aoe_scheduler_cron","Schedule Configuration","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/aoe_scheduler/aoe_scheduler_scheduler","List View","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/aoe_scheduler/aoe_scheduler_timeline","Timeline View","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/aoe_scheduler/email_time_zone_configuration","Email Time Zone Configuration","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/deliveright","Deliveright","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/deliveright/manage_deliveright","Deliveright Fetch Log","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/deliveright/api_order_log","Deliveright Push Log","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/deliveright/api_order_data","Deliveright API Data","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/order_manufacturer_statuses","Manufacturer Statuses","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/order_manufacturer_internal_statuses","Manufacturer Internal Statuses","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/mfr_status_mapping","Mfr Status Mapping","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/mfr_status_order_mapping","Shipment With Wrong  Status","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/order_internal_statuses","Internal Order Statuses","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log","Orders Log","deny","deny","allow","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/multiple_order_invoice","Multiple Order Invoice","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/ryder","Ryder","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/ryder/action_log","Action Log","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/ryder/email_log","Email Log","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/ryder/pending_shipments","Pending Shipments","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/wg_api_log","WG API","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/wg_api_log/api_log","API Log","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/orders_log","Manage Orders Log","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/bread_orders","Check Bread Orders","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/order_error_log","Orders Error Log","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/sql_export","Sql Export","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/processlist","Show Process List","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/refunded_pending","Refund In Queue Orders","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/external_transaction","Orders Transaction Log","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/whiteglove_accessed_orders","Not Captured + WG Accessed","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/auto_refunded_orders","Refunded Orders","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/refund_inqueue_orders","Refund In Queue (Braintree 24 hours)","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/log/refund_required_orders","Refund Required Orders","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/zenith_status_mapping","Freight Status Mapping","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/zenith_status_mapping/add_zenith_status","Show/Add Zenith Status Button ","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/zenith_status_mapping/mass_update_button","Show Mass Update Button ","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/zenith_status_mapping/add_styline_status","Show/Add Styline Status Button ","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/zenith_status_mapping/styline_mass_update_button","Show Mass Update Button","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/edi_ryder_status_mapping","Ryder Status Mapping","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/wiserbrand_ranking_control_panel","Ranking control panel","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/turpentine","Turpentine Varnish Management","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/global_search","Global Search","deny","allow","allow","allow","allow","allow","allow","allow","deny","deny","allow","deny","deny","allow","allow","allow","deny","deny","allow","allow","allow","allow","allow","allow","allow","deny","allow","allow","deny","allow","allow","allow","allow","allow","allow","allow","allow","allow","allow","deny","allow","allow","deny","deny","deny"
"admin/customer","Customers","deny","allow","allow","allow","allow","allow","allow","allow","deny","deny","allow","deny","deny","allow","allow","allow","deny","deny","allow","allow","allow","allow","allow","allow","allow","deny","allow","allow","deny","allow","allow","allow","allow","allow","allow","allow","allow","allow","allow","deny","allow","allow","deny","deny","deny"
